index,score,attention_head
80715,0.22132711112499237,0
29790,0.22247669100761414,0
30519,0.22494590282440186,0
33421,0.22778984904289246,0
89922,0.22866606712341309,0
3540,0.22891438007354736,0
52202,0.23123720288276672,0
80348,0.23166243731975555,0
59534,0.23198823630809784,0
88846,0.23274926841259003,0
32253,0.2332528531551361,0
52417,0.23340964317321777,0
24150,0.23372428119182587,0
18237,0.23401856422424316,0
16714,0.2340743988752365,0
9288,0.23412136733531952,0
21434,0.23424366116523743,0
18279,0.23464129865169525,0
485,0.23496174812316895,0
23631,0.2351374328136444,0
77630,0.2351374328136444,0
26339,0.2354358732700348,0
22128,0.23563747107982635,0
20011,0.23570673167705536,0
91145,0.23570673167705536,0
37300,0.23591327667236328,0
73842,0.2359384000301361,0
7596,0.23598605394363403,1
96908,0.23599939048290253,1
72868,0.2361464947462082,0
48104,0.23618707060813904,0
82520,0.23633699119091034,0
70633,0.23634180426597595,0
12227,0.23637625575065613,0
6375,0.2364165037870407,0
15414,0.2364250272512436,0
4970,0.23663203418254852,0
12036,0.23674194514751434,0
63760,0.23689471185207367,0
9315,0.23697125911712646,1
85357,0.2370583713054657,0
86925,0.23718371987342834,0
68370,0.2373170554637909,0
59130,0.2373184859752655,0
40580,0.23745320737361908,0
4484,0.2375257909297943,0
49651,0.237699955701828,0
74589,0.23787853121757507,0
18064,0.2379223108291626,0
13162,0.23798808455467224,0
92546,0.23798808455467224,0
34400,0.2379993200302124,0
40483,0.2380603551864624,0
25412,0.2381734848022461,0
89272,0.2382064312696457,0
92527,0.23820911347866058,0
33579,0.23832842707633972,0
12790,0.23841896653175354,0
12163,0.23844695091247559,0
78231,0.2384800910949707,0
27003,0.2385145127773285,0
13025,0.23851662874221802,0
24949,0.23860761523246765,0
35547,0.23871776461601257,0
52015,0.23872888088226318,0
64145,0.2387704849243164,0
24071,0.23878179490566254,0
80041,0.23886296153068542,0
91845,0.238900825381279,0
4461,0.23893380165100098,0
61619,0.23902277648448944,0
95413,0.23902630805969238,0
65739,0.23902784287929535,0
87475,0.23903727531433105,0
93565,0.23906683921813965,0
41705,0.23907575011253357,0
43440,0.2391144037246704,0
16907,0.2391272783279419,0
52416,0.23916518688201904,0
4498,0.23917482793331146,0
38902,0.23923687636852264,0
52964,0.23924045264720917,0
89064,0.2393331527709961,0
41606,0.23935404419898987,0
33936,0.2394009828567505,0
61404,0.2394734025001526,0
26311,0.23950831592082977,0
73030,0.23954182863235474,0
68795,0.23962193727493286,0
35599,0.2397245168685913,0
14530,0.2397724837064743,0
63182,0.23979401588439941,0
4683,0.23988687992095947,0
31621,0.23991653323173523,0
57234,0.2399166077375412,0
62579,0.23993998765945435,0
71458,0.23995739221572876,0
2011,0.24000108242034912,0
75397,0.24000108242034912,0
68131,0.2400190830230713,0
12687,0.24004709720611572,0
14745,0.240055650472641,0
49626,0.240055650472641,0
86199,0.240055650472641,0
48043,0.24010851979255676,0
8485,0.240134596824646,0
92672,0.2403050661087036,0
94085,0.2403050661087036,0
7727,0.24041664600372314,0
44799,0.2404482066631317,0
26205,0.24047671258449554,0
96727,0.2405104637145996,0
22086,0.24052028357982635,0
51432,0.24054881930351257,0
10904,0.24058839678764343,0
75033,0.2406284064054489,0
13152,0.2407173216342926,0
11068,0.24072054028511047,0
17351,0.240804523229599,0
71573,0.24082885682582855,0
44607,0.24084779620170593,0
71239,0.24088555574417114,0
86777,0.24095456302165985,0
92119,0.24103403091430664,0
24849,0.24104055762290955,0
46804,0.2410530149936676,0
87988,0.2410711944103241,0
8296,0.24108056724071503,0
35553,0.24111998081207275,0
58088,0.2411275953054428,0
25453,0.24116790294647217,0
68873,0.24117259681224823,0
68396,0.24119608104228973,0
52887,0.2412090003490448,0
95451,0.2412436604499817,0
63093,0.24128055572509766,0
24034,0.24128642678260803,0
89482,0.24128642678260803,0
49421,0.2412964105606079,0
55387,0.24138519167900085,0
60366,0.24142789840698242,0
2337,0.24143549799919128,0
30897,0.24156074225902557,0
71891,0.24156074225902557,0
43692,0.24159854650497437,0
41438,0.24165281653404236,0
12204,0.24166619777679443,0
76732,0.24172735214233398,0
95605,0.24180299043655396,0
17900,0.2418501079082489,0
91460,0.24186775088310242,0
96128,0.2418995350599289,0
77497,0.241958886384964,0
48358,0.2419624775648117,0
45195,0.24197077751159668,0
5698,0.24206900596618652,0
73285,0.24207329750061035,0
14387,0.24208256602287292,0
32649,0.24208423495292664,0
16652,0.24210397899150848,0
23686,0.24215242266654968,0
17826,0.24215638637542725,0
60101,0.24216866493225098,0
12503,0.24216973781585693,0
67111,0.24217507243156433,0
43541,0.24219056963920593,0
25439,0.2422071099281311,0
2405,0.24222807586193085,0
39184,0.24225029349327087,0
46983,0.24225878715515137,0
6463,0.24226316809654236,0
6778,0.24226689338684082,0
6641,0.24229252338409424,0
21952,0.24234245717525482,0
76894,0.242348313331604,1
60972,0.24235980212688446,0
17834,0.2424089014530182,0
52959,0.24241094291210175,0
29192,0.2424127161502838,0
82470,0.24243608117103577,0
26097,0.24245700240135193,0
15746,0.2424631118774414,0
90920,0.24250531196594238,0
24193,0.24253618717193604,0
59255,0.24253785610198975,0
51248,0.24257126450538635,0
34595,0.242582768201828,0
72450,0.24258862435817719,0
75189,0.2426292896270752,0
31518,0.24262993037700653,0
33059,0.24265527725219727,0
12332,0.2426767796278,0
55308,0.24270594120025635,0
11725,0.24271902441978455,0
27114,0.24272415041923523,0
79090,0.24274355173110962,0
86838,0.24275121092796326,0
12241,0.24278073012828827,0
43924,0.2428024262189865,0
70528,0.24280957877635956,0
89646,0.24281935393810272,0
28595,0.24284593760967255,0
39745,0.2429322898387909,0
56656,0.24297623336315155,0
42792,0.2429795116186142,0
28151,0.2429802417755127,0
41170,0.24299588799476624,0
70135,0.2430347502231598,0
37996,0.24303612112998962,0
70776,0.24304388463497162,0
17347,0.24306373298168182,0
31344,0.2430795431137085,0
88210,0.2430991381406784,0
68939,0.24311457574367523,0
96330,0.24311457574367523,0
7634,0.2431291788816452,0
21690,0.24314451217651367,0
76279,0.24318669736385345,0
2976,0.24321994185447693,0
31122,0.24324315786361694,0
5816,0.24324670433998108,0
59763,0.2432723343372345,0
93113,0.24330155551433563,0
56557,0.24330995976924896,0
63199,0.24331001937389374,0
36178,0.24334365129470825,0
9415,0.24334502220153809,0
42598,0.24335384368896484,0
24999,0.2433844655752182,0
31188,0.24341708421707153,0
77204,0.24342791736125946,0
29478,0.2434292733669281,0
11508,0.24343988299369812,0
80347,0.24348436295986176,0
69433,0.24349980056285858,0
65761,0.24350504577159882,0
27696,0.2435193657875061,0
42865,0.24356386065483093,0
18177,0.24357542395591736,0
76697,0.24357542395591736,0
74343,0.2435798943042755,0
55533,0.24358534812927246,0
49286,0.24361281096935272,0
56680,0.24362918734550476,0
93254,0.24364349246025085,0
96363,0.24364571273326874,0
83782,0.24366748332977295,0
48000,0.24373482167720795,0
59493,0.2437460720539093,0
16906,0.24374686181545258,0
47330,0.24376413226127625,0
41222,0.243783637881279,0
21101,0.24379199743270874,0
26927,0.243794247508049,0
65318,0.24379786849021912,0
50050,0.2438075989484787,0
18059,0.243822380900383,0
27586,0.24382321536540985,0
58401,0.2438468635082245,0
20466,0.2438550889492035,0
62113,0.24390743672847748,0
22520,0.24392229318618774,0
39905,0.24393770098686218,0
43715,0.243941068649292,0
1635,0.2439478635787964,0
56814,0.24396151304244995,0
95662,0.2439660280942917,0
60138,0.24396812915802002,0
26148,0.2439737170934677,0
86153,0.2440148890018463,0
48260,0.2440154254436493,0
89014,0.2440226972103119,0
19977,0.24406257271766663,0
18018,0.24406716227531433,0
40657,0.24410125613212585,0
35717,0.2441382110118866,0
37296,0.24415533244609833,0
75646,0.244159996509552,0
87322,0.24416819214820862,0
12180,0.24424201250076294,0
56443,0.24424497783184052,0
94179,0.24425849318504333,0
30139,0.2442585825920105,0
64438,0.2442644089460373,0
58422,0.24428433179855347,0
78014,0.2442847490310669,0
37363,0.24428483843803406,0
44957,0.244288370013237,0
84470,0.24428945779800415,1
56297,0.24431857466697693,0
33943,0.2443263977766037,0
44420,0.24433845281600952,0
96713,0.24434392154216766,0
13308,0.2443505972623825,0
50100,0.24435952305793762,0
3809,0.24436315894126892,0
51795,0.24437373876571655,0
82402,0.24438713490962982,0
53717,0.2443915605545044,0
72133,0.24439820647239685,0
30701,0.24441185593605042,0
10834,0.24443194270133972,0
36242,0.24445345997810364,0
61868,0.24446992576122284,0
62855,0.24447211623191833,0
28145,0.24450621008872986,0
69041,0.2445184886455536,0
28692,0.24455583095550537,0
9031,0.2445649802684784,0
57253,0.2445823848247528,0
18656,0.24458631873130798,0
82920,0.24459922313690186,1
67952,0.24459925293922424,0
86827,0.24460986256599426,0
15465,0.24461686611175537,0
81019,0.2446286380290985,0
24658,0.24468187987804413,0
17553,0.24470755457878113,0
25838,0.24471668899059296,0
121,0.24471959471702576,0
7570,0.24471959471702576,0
34052,0.24471959471702576,0
15154,0.24472419917583466,0
67092,0.24472706019878387,0
80716,0.24472706019878387,0
8428,0.24473147094249725,0
32648,0.24474774301052094,0
44328,0.24475038051605225,0
49314,0.24475684762001038,0
58211,0.24475744366645813,1
7166,0.2447645515203476,0
3765,0.24478089809417725,0
65693,0.2447890341281891,0
62540,0.24480164051055908,0
94654,0.24480164051055908,0
72704,0.24482612311840057,0
60284,0.24487577378749847,0
38516,0.24487823247909546,0
76450,0.24493840336799622,0
170,0.24494461715221405,0
25050,0.24494759738445282,0
52067,0.2449488639831543,0
50062,0.24495773017406464,0
81992,0.24497374892234802,0
89248,0.24497398734092712,0
46202,0.24498793482780457,0
91987,0.24499285221099854,0
57755,0.24500247836112976,0
73223,0.24502021074295044,0
27920,0.24505969882011414,0
85271,0.24506090581417084,0
94305,0.24507753551006317,0
42597,0.2451043576002121,0
4564,0.2451172173023224,0
54283,0.2451172173023224,0
29320,0.2451186180114746,0
31224,0.24512599408626556,0
81976,0.2451341152191162,0
80460,0.24513933062553406,0
61708,0.24514786899089813,0
29530,0.24514886736869812,0
56459,0.24515613913536072,0
1762,0.24517256021499634,0
45311,0.24517355859279633,0
89888,0.24518637359142303,0
48285,0.24520322680473328,0
11130,0.24522185325622559,0
25544,0.24522750079631805,0
26926,0.24523970484733582,0
1565,0.24524395167827606,0
30142,0.2452603578567505,0
23855,0.24527880549430847,1
71010,0.24527880549430847,1
28963,0.24527883529663086,0
57994,0.245280921459198,0
23016,0.24528709053993225,0
64006,0.2453061044216156,0
52935,0.24532485008239746,0
43720,0.2453382909297943,0
46408,0.2453393191099167,0
12418,0.2453499287366867,0
35569,0.24537627398967743,0
7356,0.2453806847333908,0
66422,0.24539153277873993,1
2141,0.2454439401626587,0
12254,0.24547898769378662,0
14154,0.2454850673675537,0
59677,0.2454855740070343,0
64170,0.24548813700675964,0
866,0.2454930990934372,0
